Id,Character,CharacterImage,Dialogue,Chioce1,Chioce2,Choice1Text,Choice2Text,Type,Sound,BGMSound,Note
,,,,,,,,,,,
,Note,,หลังจากที่เราเข้ามาภายในตัวอาคาร,,,,,,,,
,,,,,,,,,,,
Ch1_D01_01,อเมเลีย,Amelia_disgusting,แค่กๆ!!...ฝุ่นคลุ้งไปหมด..,Ch1_D01_02,,,,Dialogue,,,
Ch1_D01_02,อเมเลีย,Amelia_disgusting,ที่นี้ใช่โรงอาหารของสวนน้ำจริงๆแน่หรอ..ทำไมถึงมีคราบอะไรสีดำเต็มไปหมด..,Ch1_D01_03,,,,Dialogue,,,
Ch1_D01_03,อเมเลีย,Amelia_disgusting,"น..นี้เราเชื่อสิ่งที่เด็กคนนั้นพูดได้จริงๆแน่นะ...ไอ้ ""เหรียญนำทาง"" อะไรนั้นนะ...",Ch1_D01_04,,,,Dialogue,,,
Ch1_D01_04,อเมเลีย,Amelia_shocking,กรื๊ดดด!!!,Ch1_D01_05,,,,Dialogue,fallitem,,มีเสียงของตกดังขึ้น
Ch1_D01_05,อเมเลีย,Amelia_shocking,..ฮ..ฮัลโหล...ค..ใครคะ?....,Ch1_D01_06,,,,Dialogue,,,
Ch1_D01_06,บรรยาย,None,........,Ch1_D01_07,,,,Dialogue,,,
Ch1_D01_07,อเมเลีย,Amelia_shocking,ฮือ..ไม่อยากเดินเข้าไปแล้ว..บางที่ข้างนอกอาจมีเส้นทางอื่นก็ได้..ลองไปถามเด็กคนนั้นอีกรอบละกัน..,Ch1_D01_08,,,,Dialogue,,,
Ch1_D01_08,บรรยาย,None,....,Ch1_D01_09,,,,Dialogue,pullthedoor,,เสียงเปิดประตูไม่ออก
Ch1_D01_09,อเมเลีย,Amelia_disgusting,เอ๋!! ทำไมล่ะ!! ทั้งที่ก่อนหน้านี้ยังปกติแท้ๆ...ขอร้องล่ะ!!,Ch1_D01_10,,,,Dialogue,,,
Ch1_D01_10,บรรยาย,None,........,Ch1_D01_11,,,,Dialogue,pullthedoor,,เสียงเปิดประตูไม่ออก
Ch1_D01_11,อเมเลีย,Amelia_shocking,ท...ทำไมถึงเกิดเรื่องแบบขึ้นกับฉันล่ะ..,Ch1_D01_12,,,,Dialogue,,,
Ch1_D01_12,บรรยาย,None,ถอยก็ไม่ได้แล้ว..ก็คงไม่มีทางเลือกอื่นแล้วสินะ...ต้องตามเสียงไปจริงๆสินะ...,Ch1_D01_13,,,,Dialogue,,,
Ch1_D01_13,อเมเลีย,Amelia_disgusting,ขอให้พระเจ้าจงคุ้มครอง...,,,,,Dialogue,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ch1_D01_2_01,อเมเลีย,Amelia_normal,ต..ตัวอะไร? หนูหริอเปล่า...,Ch1_D01_2_02,,,,Dialogue,,,
Ch1_D01_2_02,อเมเลีย,Amelia_normal,เหมือนมันคาบอะไรบางอย่างอยู่เลย...กุญแจ?,Ch1_D01_2_03,,,,Dialogue,,,
Ch1_D01_2_03,หนู,Amelia_normal,คร๊ากกกก!!!,Ch1_D01_2_04,,,,Dialogue,threaten,,
Ch1_D01_2_04,อเมเลีย,Amelia_normal,กรื๊ดดด!! ด....เดี๋ยวเจ้าหนูอย่าพึ่งหนไป!!,Ch1_D01_2_05,,,,Dialogue,,,
Ch1_D01_2_05,อเมเลีย,CutSceneS1_1,หายไปแล้ว...เหมือนมันกลัวอะไรบางอย่างเลยแฮะ...,Ch1_D01_2_06,,,,CutScene,heartbeat,,
Ch1_D01_2_06,อเมเลีย,CutSceneS1_1,ส...เสียงอะไร,Ch1_D01_2_07,,,,CutScene,Moster_spawner,,
Ch1_D01_2_07,ภารโรง,CutSceneS1_2,ข..ขยะ....,Ch1_D01_2_08,,,,CutScene,,,
Ch1_D01_2_08,อเมเลีย,CutSceneS1_2,อะ,Ch1_D01_2_09,,,,CutScene,,,
Ch1_D01_2_09,ภารโรง,CutSceneS1_3,ขยะ!!!!,Ch1_D01_2_10,,,,CutScene,,,
Ch1_D01_2_10,ภารโรง,CutSceneS1_3,กรื๊ดดดดด!!!,,,,,CutScene,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Note,,หลังจากจบคัดซีนภารโรง,,,,,,,,
,,,,,,,,,,,
Ch1_D02_01,อเมเลีย,Amelia_shocking,เอ๋...อ..อะไร..,Ch1_D02_02,,,,Dialogue,heartbeat,,ใส่เสียงหัวใจเต้นเบาๆ ( ถ้าใครได้ยินเสียงหัวใจเต้นไม่ได้ก็ไม่ต้องใส่ก็ได้ )
Ch1_D02_02,ภารโรง,janitor,..ข..ขยะ...ต้อง..กำ..จัด..ให้..หมด..ไม่..เอา..ขยะ,Ch1_D02_03,,,,Dialogue,,,
Ch1_D02_03,ภารโรง,janitor,เพราะ..พ..วก..แ..ก..ทุ..ก..ค..น..เ..กลี..ย..ด....ไ..ม่..ไม่..ไม่..,Ch1_D02_04,,,,Dialogue,,,
Ch1_D02_04,ภารโรง,janitor,อ๊าก..ไม่..ไม่!!...ไม่!!! ไ#ม$ไม%ไ#ม%$#$%#$%#$%#!!!!!!!!,Ch1_D02_05,,,,Dialogue,,,ทำภาพเขย่า ขอบจอเป็นสีแดงๆ กับใส่เสียงคำรามสัตว์ กด animation trigger
Ch1_D02_05,อเมเลีย,Amelia_shocking,กรื๊ด!! อย่าเข้ามานะ!!!,Ch1_D02_06,,,,Dialogue,,,
Ch1_D02_06,อเมเลีย,Amelia_disgusting,( ต..ต้องรีบหนีแล้ว!!! ไม่งั้นละก็!! ),,,,,Dialogue,,,
,,,,,,,,,,,
,Note,,หลังจากที่หลบภารโรงได้,,,,,,,,
,,,,,,,,,,,
Ch1_D03_01,อเมเลีย,Amelia_disgusting,..แฮ่ก..แฮ่ก...ม..เมื้อกี้มันตัวอะไร..โครงกระดูก?..แต่ทำไมโครงกระดูกถึงขยับได้กันล่ะ..,Ch1_D03_02,,,,Dialogue,,,
Ch1_D03_02,อเมเลีย,Amelia_disgusting,ฮือ..ไม่ไหว...อยากออกไปจากที่แห่งนี้แล้ว,Ch1_D03_03,,,,Dialogue,,,
Ch1_D03_03,อเมเลีย,Amelia_disgusting,...แต่..ประตูทางออกก็ดันเปิดไม่ได้,Ch1_D03_04,,,,Dialogue,,,
Ch1_D03_04,อเมเลีย,Amelia_disgusting,"....คงต้องลองสำรวจรอบๆก่อน..หวังว่าจะเจอ ""ทางออก"" กับ ""เหรียญนำทาง"" นะ....",Ch1_D03_05,,,,Dialogue,,,
Ch1_D03_05,อเมเลีย,Amelia_disgusting,ถ้าจำไม่ผิด...เมิ่อกี้จะเห็นหนูคาบอะไรสักอย่างวิ่งเข้าไปประตูนั้น..,Ch1_D03_06,,,,Dialogue,,,
